IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,639774,2020-03-14,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,639775,2020-03-19,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,639776,2020-03-21,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,639777,2020-03-27,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,639778,2020-03-14,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,639779,2020-03-18,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,639780,2020-03-28,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,639781,2020-03-14,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,639782,2020-03-20,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,639783,2020-03-14,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,639784,2020-03-19,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,639785,2020-03-20,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,639786,2020-03-28,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,639787,2020-03-29,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,0,639788,2020-03-24,01001,2020-04-02,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,2,0,639789,2020-03-26,01001,2020-04-02,0,-9
