"ID1";"ID";"﻿IdBundesland";"Bundesland";"Landkreis";"Altersgruppe";"Geschlecht";"AnzahlFall";"AnzahlTodesfall";"ObjectId";"ObjectId_different";"Meldedatum";"IdLandkreis";"Datenstand";"NeuerFall";"NeuerTodesfall";"Refdatum";"NeuGenesen";"AnzahlGenesen"
1;1000,00;2,00;"Hamburg";"SK Hamburg";"A15-A34";"M";2,00;0,00;1585303,00;-1999,00;12.3.2020;2000,00;10.4.2020;0,00;-9,00;12.3.2020;0,00;2,00
2;1001,00;1,00;"Schleswig-Holstein";"SK Flensburg";"A15-A34";"M";1,00;0,00;1583304,00;999,00;14.3.2020;1001,00;10.4.2020;0,00;-9,00;16.3.2020;-9,00;0,00
3;2000,00;1,00;"Schleswig-Holstein";"LK Pinneberg";"A60-A79";"W";1,00;0,00;1584303,00;2000,00;30.3.2020;1056,00;10.4.2020;0,00;-9,00;18.3.2020;0,00;1,00
4;3000,00;2,00;"Hamburg";"SK Hamburg";"A35-A59";"W";4,00;0,00;1586303,00;3000,00;19.3.2020;2000,00;10.4.2020;0,00;-9,00;15.3.2020;0,00;4,00
5;4000,00;3,00;"Niedersachsen";"LK Hameln-Pyrmont";"A15-A34";"W";1,00;0,00;1589303,00;-2000,00;26.3.2020;3252,00;10.4.2020;0,00;-9,00;15.3.2020;0,00;1,00
6;5000,00;3,00;"Niedersachsen";"SK Wolfsburg";"A15-A34";"M";2,00;0,00;1587303,00;5000,00;22.3.2020;3103,00;10.4.2020;0,00;-9,00;14.3.2020;0,00;2,00
7;6000,00;3,00;"Niedersachsen";"LK Osnabrück";"A35-A59";"W";2,00;0,00;1592303,00;-1000,00;8.4.2020;3459,00;10.4.2020;1,00;-9,00;8.4.2020;-9,00;0,00
8;7000,00;3,00;"Niedersachsen";"LK Aurich";"A35-A59";"W";1,00;0,00;1591303,00;-1000,00;26.3.2020;3452,00;10.4.2020;0,00;-9,00;22.3.2020;0,00;1,00
9;8000,00;3,00;"Niedersachsen";"LK Rotenburg (Wümme)";"A35-A59";"M";1,00;0,00;1590303,00;3000,00;16.3.2020;3357,00;10.4.2020;0,00;-9,00;16.3.2020;0,00;1,00
10;9000,00;5,00;"Nordrhein-Westfalen";"SK Duisburg";"A15-A34";"M";2,00;0,00;1593303,00;4000,00;21.3.2020;5112,00;10.4.2020;0,00;-9,00;13.3.2020;0,00;2,00
11;10000,00;5,00;"Nordrhein-Westfalen";"SK Köln";"A15-A34";"M";8,00;0,00;1597303,00;-3000,00;20.3.2020;5315,00;10.4.2020;0,00;-9,00;20.3.2020;-9,00;0,00
12;11000,00;5,00;"Nordrhein-Westfalen";"SK Mönchengladbach";"A35-A59";"W";1,00;0,00;1594303,00;2000,00;31.3.2020;5116,00;10.4.2020;0,00;-9,00;28.3.2020;-9,00;0,00
13;12000,00;5,00;"Nordrhein-Westfalen";"LK Rhein-Kreis Neuss";"A60-A79";"W";2,00;0,00;1596303,00;-8000,00;1.4.2020;5162,00;10.4.2020;0,00;-9,00;1.4.2020;-9,00;0,00
14;13000,00;3,00;"Niedersachsen";"Region Hannover";"A05-A14";"W";1,00;0,00;1588303,00;7000,00;25.3.2020;3241,00;10.4.2020;0,00;-9,00;17.3.2020;-9,00;0,00
15;14000,00;5,00;"Nordrhein-Westfalen";"LK Kleve";"A15-A34";"M";2,00;0,00;1595303,00;3000,00;29.3.2020;5154,00;10.4.2020;0,00;-9,00;29.3.2020;-9,00;0,00
16;15000,00;5,00;"Nordrhein-Westfalen";"StadtRegion Aachen";"A15-A34";"M";1,00;0,00;1598303,00;5000,00;8.4.2020;5334,00;10.4.2020;1,00;-9,00;1.4.2020;-9,00;0,00
