IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,FID,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,847998,2020-03-14,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,847999,2020-03-19,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,848000,2020-03-21,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,848001,2020-03-27,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,848002,2020-04-04,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,848003,2020-04-06,01001,2020-04-07,1,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,848004,2020-03-14,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,848005,2020-03-18,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,848006,2020-03-28,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,848007,2020-03-14,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,848008,2020-03-20,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,848009,2020-03-14,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,848010,2020-03-19,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,848011,2020-03-20,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,848012,2020-03-28,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,848013,2020-03-29,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,848014,2020-04-03,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,1,848015,2020-03-24,01001,2020-04-07,0,0
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,2,0,848016,2020-03-26,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,W,2,0,848017,2020-03-26,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,W,1,0,848018,2020-04-03,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A80+,M,2,0,848019,2020-03-31,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Flensburg,A80+,W,1,0,848020,2020-03-30,01001,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848021,2020-03-10,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,848022,2020-03-11,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848023,2020-03-13,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848024,2020-03-14,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848025,2020-03-16,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848026,2020-03-18,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848027,2020-03-20,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848028,2020-03-21,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,848029,2020-03-23,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848030,2020-03-25,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,848031,2020-03-27,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,848032,2020-03-28,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848033,2020-03-29,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,3,0,848034,2020-04-01,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,848035,2020-04-02,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,-1,0,848036,2020-04-03,01002,2020-04-07,-1,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848037,2020-04-04,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,848038,2020-04-05,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,3,0,848039,2020-04-06,01002,2020-04-07,1,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848040,2020-03-10,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848041,2020-03-12,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,848042,2020-03-16,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848043,2020-03-17,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,848044,2020-03-18,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,848045,2020-03-19,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848046,2020-03-20,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848047,2020-03-22,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,848048,2020-03-23,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848049,2020-03-24,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,848050,2020-03-26,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,848051,2020-03-27,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,848052,2020-03-28,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848053,2020-03-29,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848054,2020-03-31,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848055,2020-04-02,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,848056,2020-04-03,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848057,2020-04-04,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,848058,2020-04-05,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848059,2020-03-11,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848060,2020-03-12,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,848061,2020-03-19,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848062,2020-03-21,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848063,2020-03-24,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848064,2020-03-25,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848065,2020-03-26,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848066,2020-03-27,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848067,2020-03-28,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,2,0,848068,2020-03-30,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848069,2020-03-31,01002,2020-04-07,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,848070,2020-04-01,01002,2020-04-07,0,-9
